project_id,project_name,project_type,state,district,project_manager_id,village_count,land_area_acres,affected_families,total_landowners,project_budget,planned_start_date,planned_completion_date,current_stage,project_status,created_at,updated_at
LG-000001,Ananthapuramu Railway Smart City Water Network,Railway,Andhra Pradesh,Ananthapuramu,USR-00935,14,6881.22,2172,3947,90534595743.02,2018-11-14,2022-11-13,Land Identification,Active,2018-11-14 09:00:00,2018-12-16 09:00:00
LG-000002,Annamayya Urban Development Expressway Development,Urban Development,Andhra Pradesh,Annamayya,USR-00935,38,276.27,2565,4918,39671477607.25,2018-10-23,2021-10-22,Approval,Completed,2018-10-23 09:00:00,2018-12-24 09:00:00
LG-000003,Alluri Sitharama Raju Industrial Corridor Greenfield Connector,Industrial Corridor,Andhra Pradesh,Alluri Sitharama Raju,USR-00935,38,3333.31,832,1966,9980172657.22,2018-12-05,2023-12-04,Legal Resolution,Completed,2018-12-05 09:00:00,2019-03-04 09:00:00
LG-000004,Anakapalli Highway Metro Line Extension,Highway,Andhra Pradesh,Anakapalli,USR-00935,5,930.42,709,883,74461451029.5,2024-03-18,2026-03-18,Objection/Hearing,Active,2024-03-18 09:00:00,2025-01-09 09:00:00
LG-000005,Bapatla Highway Irrigation Modernization,Highway,Andhra Pradesh,Bapatla,USR-00935,3,2883.06,3880,8062,75886527065.01,2021-10-01,2023-10-01,Legal Resolution,Active,2021-10-01 09:00:00,2021-10-20 09:00:00
LG-000006,Chittoor Water Supply Expressway Development,Water Supply,Andhra Pradesh,Chittoor,USR-00935,17,1979.09,4522,6756,30289432364.83,2018-09-21,2021-09-20,R&R,Completed,2018-09-21 09:00:00,2018-12-18 09:00:00
LG-000007,East Godavari Water Supply Power Grid Link,Water Supply,Andhra Pradesh,East Godavari,USR-00935,16,6809.81,4890,11366,52555410555.45,2023-06-03,2029-06-01,R&R,Active,2023-06-03 09:00:00,2023-08-09 09:00:00
LG-000008,Eluru Highway Metro Line Extension,Highway,Andhra Pradesh,Eluru,USR-00935,32,2296.82,4540,11007,18581927211.08,2023-07-03,2029-07-01,Possession,Completed,2023-07-03 09:00:00,2023-12-11 09:00:00
LG-000009,Guntur Power Project Industrial Cluster Feeder,Power Project,Andhra Pradesh,Guntur,USR-00935,32,4167.99,3646,6515,56544125946.51,2020-01-09,2023-01-08,Approval,Active,2020-01-09 09:00:00,2020-10-20 09:00:00
LG-000010,Kakinada Highway Expressway Development,Highway,Andhra Pradesh,Kakinada,USR-00935,37,6747.72,954,1391,266824918.19,2019-01-16,2023-01-15,Land Identification,Completed,2019-01-16 09:00:00,2019-08-10 09:00:00
LG-000011,NTR Highway Metro Line Extension,Highway,Andhra Pradesh,NTR,USR-00935,3,920.77,1915,3725,52649586929.71,2020-10-07,2023-10-07,Land Identification,Completed,2020-10-07 09:00:00,2021-04-09 09:00:00
LG-000012,Nandyal Urban Development Bypass Construction,Urban Development,Andhra Pradesh,Nandyal,USR-00935,36,3510.6,1349,3086,74898623837.15,2020-01-13,2022-01-12,Survey,Active,2020-01-13 09:00:00,2020-04-15 09:00:00
LG-000013,Palnadu Highway Smart City Water Network,Highway,Andhra Pradesh,Palnadu,USR-00935,34,5240.57,790,1367,48198148435.29,2023-11-13,2026-11-12,Final Handover,Cancelled,2023-11-13 09:00:00,2024-09-03 09:00:00
LG-000014,Parvathipuram Manyam Water Supply Smart City Water Network,Water Supply,Andhra Pradesh,Parvathipuram Manyam,USR-00935,25,9161.01,938,1577,72400321080.91,2022-06-17,2028-06-15,Land Identification,Active,2022-06-17 09:00:00,2023-02-10 09:00:00
LG-000015,Prakasam Industrial Corridor Bypass Construction,Industrial Corridor,Andhra Pradesh,Prakasam,USR-00935,39,409.58,4363,7885,9328064680.47,2019-10-18,2021-10-17,Final Handover,On Hold,2019-10-18 09:00:00,2020-06-04 09:00:00
LG-000016,Sri Potti Sriramulu Nellore Dam Industrial Cluster Feeder,Dam,Andhra Pradesh,Sri Potti Sriramulu Nellore,USR-00935,24,3663.48,3291,4924,57145257720.74,2023-04-27,2025-04-26,Possession,Completed,2023-04-27 09:00:00,2023-09-22 09:00:00
LG-000017,Sri Sathya Sai Water Supply Freight Corridor Expansion,Water Supply,Andhra Pradesh,Sri Sathya Sai,USR-00935,4,3568.07,1270,2654,12591487491.95,2020-09-26,2024-09-25,Approval,Active,2020-09-26 09:00:00,2021-05-18 09:00:00
LG-000018,Srikakulam Industrial Corridor Power Grid Link,Industrial Corridor,Andhra Pradesh,Srikakulam,USR-00935,13,6859.89,1287,2790,11246050361.1,2019-10-05,2023-10-04,Land Identification,Active,2019-10-05 09:00:00,2019-10-22 09:00:00
LG-000019,Tirupati Water Supply Bypass Construction,Water Supply,Andhra Pradesh,Tirupati,USR-00935,39,85.6,4493,6736,55759289340.41,2018-03-05,2020-03-04,Approval,On Hold,2018-03-05 09:00:00,2018-09-09 09:00:00
